task_id,skill_group,group_hours_in_mixture,instruction,G2-90D_SR_0.3k,G2-90D_SR_1.2k,G2-90D_SR_5k,G2-90D_SR_30k,G1-OP_SR_0.3k,G1-OP_SR_1.2k,G1-OP_SR_5k,G1-OP_SR_30k,note
1,Pick,8379.2,Pick up the red apple with the right arm. Normal pace.,60.0,100,100,100,90.0,100,100,100,
2,Pick,8379.2,Pick up the toothpaste with the right arm. Normal pace.,30.0,40.0,60.0,60.0,0,20.0,40.0,80.0,
3,Pick,8379.2,Pick up the red cube with the right arm.,70.0,70.0,50.0,50.0,80.0,80.0,70.0,90.0,
4,Pick,8379.2,Pick up the water bottle with the right arm.,60.0,100,90.0,100,40.0,50.0,70.0,90.0,
5,Pick,8379.2,Pick up the water bottle with the right arm. Normal pace.,100,100,100,100,50.0,70.0,90.0,100,
6,Pick,8379.2,Pick up the marker pen in the water cup with the right arm. Normal pace.,0,30.0,40.0,40.0,0,10.0,30.0,60.0,
7,Pick,8379.2,Pick up the tooth brush with the right arm.,0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,
8,Pick,8379.2,Pick up the water cup with the right arm. Normal pace.,40.0,60.0,50.0,50.0,20.0,40.0,40.0,80.0,
9,Pick,8379.2,Pick up the controller with the right arm. Normal pace.,80.0,100,80.0,40.0,10.0,30.0,60.0,50.0,
10,Pick,8379.2,Pick up the towel with the right arm. Normal pace.,70.0,80.0,80.0,70.0,80.0,90.0,80.0,100,
11,Pick,8379.2,Pick up the stapler with the right arm. Normal pace.,80.0,80.0,70.0,80.0,70.0,100,80.0,90.0,
12,Pick,8379.2,Pick up the whisk with the right arm. Normal pace.,40.0,50.0,70.0,70.0,60.0,50.0,70.0,80.0,
13,Pick,8379.2,Pick up the towel from the rod with the right arm. Normal pace.,0,60.0,60.0,70.0,0,20.0,50.0,70.0,
14,Place,2519.2,Put the apple into the container with the right arm. Normal pace.,100,100,90.0,90.0,100,100,100,100,
98,Place,2519.2,Put the blue cube into the plate with the right arm. Normal pace.,90,90,100,100,100,100,100,100,
99,Place,2519.2,Put the orange into the small bowl with the right arm. Normal pace.,60,60,80,80,80,100,100,100,
15,Place,2519.2,Put the marker pen into the pen holder with the right arm. Normal pace.,0,40.0,30.0,70.0,20.0,20.0,40.0,50.0,
16,Place,2519.2,Put the red cube into the paper cup with the right arm. Normal pace.,30.0,0,40.0,60.0,30.0,60.0,80.0,80.0,
17,Place,2519.2,Put the marker pen into the open drawer with the right arm. Normal pace.,70.0,50.0,70.0,80.0,60.0,60.0,90.0,100,
18,Wipe,824.1,Wipes the plate with the rag with the right arm. Normal pace.,0,0,10.0,60.0,20.0,20.0,30.0,70.0,
19,Wipe,824.1,Wipes the water stain with the sponge with the right arm. Normal pace.,0,0,20.0,50.0,30.0,40.0,40.0,80.0,
100,Wipe,824.1,Wipes the table with with the eraser with the right arm. Normal pace.,0,0,30,60,40,40,60,80,
20,Stack,756.2,Stack the red cube on the yellow block with the right arm. Normal pace.,0,0,0,10.0,0,10.0,20.0,40.0,
21,Stack,756.2,Stack the paper cup on the other paper cup with the right arm. Normal pace.,0,0,0,10.0,0,0,0,30.0,
22,Stack,756.2,Stack the bowl on the other bowl with the right arm. Normal pace.,90.0,90.0,100,90.0,70.0,80.0,80.0,90.0,
23,Stack,756.2,Stack the coaster on the other coaster with the right arm. Normal pace.,70.0,70.0,80.0,70.0,80.0,70.0,80.0,100,
24,Stack,756.2,Stack the cola can on the other cola can with the right arm. Normal pace.,0,0,0,10.0,0,0,0,10.0,
25,Stack,756.2,Covers the cutlery box with the lid with the right arm. Normal pace.,0,0,0,0,0,0,0,0,
26,Stack,756.2,Covers the trash can lid with the right arm. Normal pace.,0,0,0,0,0,0,0,20.0,
27,Pass,590.8,Use the left arm to pass the remote control to the right arm.,0,20.0,30.0,60.0,40.0,60.0,60.0,80.0,
