skill_group,task_label,instruction,published_frame,clip_key,clip_file,poster_file
pick,red apple,Pick up the red apple with the right arm. Normal pace.,,pick__red_apple,assets/video/wall/pick__red_apple.mp4,assets/video/wall/pick__red_apple.jpg (optional; frame is the default poster)
pick,toothpaste,Pick up the toothpaste with the right arm. Normal pace.,,pick__toothpaste,assets/video/wall/pick__toothpaste.mp4,assets/video/wall/pick__toothpaste.jpg (optional; frame is the default poster)
pick,red cube,Pick up the red cube with the right arm.,,pick__red_cube,assets/video/wall/pick__red_cube.mp4,assets/video/wall/pick__red_cube.jpg (optional; frame is the default poster)
pick,water bottle,Pick up the water bottle with the right arm.,,pick__water_bottle,assets/video/wall/pick__water_bottle.mp4,assets/video/wall/pick__water_bottle.jpg (optional; frame is the default poster)
pick,water bottle [2],Pick up the water bottle with the right arm. Normal pace.,,pick__water_bottle_2,assets/video/wall/pick__water_bottle_2.mp4,assets/video/wall/pick__water_bottle_2.jpg (optional; frame is the default poster)
pick,marker pen in cup,Pick up the marker pen in the water cup with the right arm. Normal pace.,,pick__marker_pen_in_cup,assets/video/wall/pick__marker_pen_in_cup.mp4,assets/video/wall/pick__marker_pen_in_cup.jpg (optional; frame is the default poster)
pick,tooth brush,Pick up the tooth brush with the right arm.,assets/frames/tooth_brush.jpg,pick__tooth_brush,assets/video/wall/pick__tooth_brush.mp4,assets/video/wall/pick__tooth_brush.jpg (optional; frame is the default poster)
pick,water cup,Pick up the water cup with the right arm. Normal pace.,,pick__water_cup,assets/video/wall/pick__water_cup.mp4,assets/video/wall/pick__water_cup.jpg (optional; frame is the default poster)
pick,controller,Pick up the controller with the right arm. Normal pace.,,pick__controller,assets/video/wall/pick__controller.mp4,assets/video/wall/pick__controller.jpg (optional; frame is the default poster)
pick,towel,Pick up the towel with the right arm. Normal pace.,,pick__towel,assets/video/wall/pick__towel.mp4,assets/video/wall/pick__towel.jpg (optional; frame is the default poster)
pick,stapler,Pick up the stapler with the right arm. Normal pace.,,pick__stapler,assets/video/wall/pick__stapler.mp4,assets/video/wall/pick__stapler.jpg (optional; frame is the default poster)
pick,whisk,Pick up the whisk with the right arm. Normal pace.,assets/frames/whisk.jpg,pick__whisk,assets/video/wall/pick__whisk.mp4,assets/video/wall/pick__whisk.jpg (optional; frame is the default poster)
pick,towel from rod,Pick up the towel from the rod with the right arm. Normal pace.,,pick__towel_from_rod,assets/video/wall/pick__towel_from_rod.mp4,assets/video/wall/pick__towel_from_rod.jpg (optional; frame is the default poster)
place,apple → container,Put the apple into the container with the right arm. Normal pace.,,place__apple_to_container,assets/video/wall/place__apple_to_container.mp4,assets/video/wall/place__apple_to_container.jpg (optional; frame is the default poster)
place,blue cube → plate,Put the blue cube into the plate with the right arm. Normal pace.,,place__blue_cube_to_plate,assets/video/wall/place__blue_cube_to_plate.mp4,assets/video/wall/place__blue_cube_to_plate.jpg (optional; frame is the default poster)
place,orange → small bowl,Put the orange into the small bowl with the right arm. Normal pace.,,place__orange_to_small_bowl,assets/video/wall/place__orange_to_small_bowl.mp4,assets/video/wall/place__orange_to_small_bowl.jpg (optional; frame is the default poster)
place,pen → pen holder,Put the marker pen into the pen holder with the right arm. Normal pace.,assets/frames/put_pen_in_cup.jpg,place__pen_to_pen_holder,assets/video/wall/place__pen_to_pen_holder.mp4,assets/video/wall/place__pen_to_pen_holder.jpg (optional; frame is the default poster)
place,cube → paper cup,Put the red cube into the paper cup with the right arm. Normal pace.,,place__cube_to_paper_cup,assets/video/wall/place__cube_to_paper_cup.mp4,assets/video/wall/place__cube_to_paper_cup.jpg (optional; frame is the default poster)
place,pen → open drawer,Put the marker pen into the open drawer with the right arm. Normal pace.,,place__pen_to_open_drawer,assets/video/wall/place__pen_to_open_drawer.mp4,assets/video/wall/place__pen_to_open_drawer.jpg (optional; frame is the default poster)
wipe,plate with rag,Wipes the plate with the rag with the right arm. Normal pace.,,wipe__plate_with_rag,assets/video/wall/wipe__plate_with_rag.mp4,assets/video/wall/wipe__plate_with_rag.jpg (optional; frame is the default poster)
wipe,stain with sponge,Wipes the water stain with the sponge with the right arm. Normal pace.,assets/frames/wipes_water.jpg,wipe__stain_with_sponge,assets/video/wall/wipe__stain_with_sponge.mp4,assets/video/wall/wipe__stain_with_sponge.jpg (optional; frame is the default poster)
